Country,Quality Score,SDGi,Life Exectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),footprint_production,footprint_consumption,Total biocapacity ,Ecological (Deficit) or Reserve,num_earths,Number of Countries required,official_overshoot_day,overshoot_day_consumption,difference
Afghanistan,3A,52.5,62,0.48,,Middle East/Central Asia,LI,40.8,0.679451465,0.801464624,0.513827024,-0.3,0.5,1.6,,2025-11-19,
Albania,3A,71.6,76,0.8,"$14,889",Other Europe,UM,2.9,1.626551453,2.07123836,1.176752316,-0.9,1.4,1.8,2024-09-23,2024-09-22,-1.0
Algeria,3A,71.5,76,0.75,"$11,137",Africa,UM,45.4,1.76957865,2.222968466,0.663374969,-1.6,1.5,3.4,2024-09-04,2024-09-04,0.0
Angola,3A,50.9,62,0.59,"$6,304",Africa,LM,35,0.598284147,0.857845606,1.588191242,0.7,0.6,0.5,,2025-10-05,
Antigua and Barbuda,2B,,78,0.79,"$18,749",Central America/Caribbean,HI,0.1,1.508590527,2.936735142,0.917277482,-2.0,1.9,3.2,2024-07-06,2024-07-06,0.0
Argentina,3A,72.8,75,0.84,"$22,117",South America,UM,46,4.465856286,3.220618379,5.231663301,2.0,2.1,0.6,2024-06-20,2024-06-19,-1.0
Armenia,3A,71.1,72,0.76,"$13,548",Middle East/Central Asia,LM,3,1.706145617,2.326394968,0.846624546,-1.5,1.5,2.7,2024-08-24,2024-08-24,0.0
Australia,2A,75.6,83,0.95,"$53,053",Asia-Pacific,HI,26.1,9.944147344,5.777038091,11.02140059,5.2,3.8,0.5,2024-04-05,2024-04-04,-1.0
Austria,3A,82.3,81,0.92,"$55,460",EU-27,HI,9.1,4.418644964,5.626640543,2.8937746,-2.7,3.7,1.9,2024-04-07,2024-04-07,0.0
Azerbaijan,3A,73.5,69,0.75,"$14,692",Middle East/Central Asia,UM,10.3,2.065382959,2.357088965,0.936954621,-1.4,1.6,2.5,2024-08-21,2024-08-21,0.0
Bahrain,3A,64.3,79,0.88,"$49,184",Middle East/Central Asia,HI,1.8,8.19061621,8.176201444,0.555726117,-7.6,5.4,14.7,2024-03-08,2024-03-07,-1.0
Bangladesh,3A,64.2,72,0.66,"$5,681",Asia-Pacific,LI,167.9,0.473200283,0.670724904,0.247818312,-0.4,0.4,2.7,,2026-04-02,
Barbados,3A,70.3,78,0.79,"$14,910",Central America/Caribbean,HI,0.3,1.521918931,3.314135759,0.259910991,-3.1,2.2,12.8,2024-06-15,2024-06-14,-1.0
Belarus,3A,76,72,0.81,"$18,574",Other Europe,UM,9.4,5.619115531,4.578252952,3.702523221,-0.9,3.0,1.2,2024-04-30,2024-04-29,-1.0
Belgium,3A,79.7,82,0.94,"$52,749",EU-27,HI,11.7,3.773297659,6.689648646,1.161287077,-5.5,4.4,5.8,2024-03-23,2024-03-22,-1.0
Belize,2A,65.7,70,0.68,"$6,122",Central America/Caribbean,UM,0.4,6.430256979,7.530376316,3.303245105,-4.2,5.0,2.3,2024-03-14,2024-03-13,-1.0
Benin,3A,51.2,60,0.53,"$3,543",Africa,LI,12.8,0.952364326,1.110590112,0.633463684,-0.5,0.7,1.8,,2025-05-11,
Bhutan,2A,70.5,72,0.67,"$11,106",Asia-Pacific,LM,0.8,4.092776696,4.720567489,4.872815927,0.2,3.1,1.0,2024-04-26,2024-04-26,0.0
Bolivia,3A,68,64,0.69,"$8,442",South America,LM,12,2.989257578,2.772535296,13.2359069,10.5,1.8,0.2,2024-07-17,2024-07-17,0.0
