Country,Region,Total Ecological Footprint (Consumption),Number of Earths required,"official 
 Country Overshoot Day 
 (for use in 2024)"
Afghanistan,Middle East/Central Asia,0.8014646235,0.5,
Albania,Other Europe,2.07123836,1.4,"September 23, 2024"
Algeria,Africa,2.222968466,1.5,"September 4, 2024"
Angola,Africa,0.8578456064,0.6,
Antigua and Barbuda,Central America/Caribbean,2.936735142,1.9,"July 6, 2024"
Argentina,South America,3.220618379,2.1,"June 20, 2024"
Armenia,Middle East/Central Asia,2.326394968,1.5,"August 24, 2024"
Australia,Asia-Pacific,5.777038091,3.8,"April 5, 2024"
Austria,EU-27,5.626640543,3.7,"April 7, 2024"
Azerbaijan,Middle East/Central Asia,2.357088965,1.6,"August 21, 2024"
Bahrain,Middle East/Central Asia,8.176201444,5.4,"March 8, 2024"
Bangladesh,Asia-Pacific,0.6707249041,0.4,
Barbados,Central America/Caribbean,3.314135759,2.2,"June 15, 2024"
Belarus,Other Europe,4.578252952,3,"April 30, 2024"
Belgium,EU-27,6.689648646,4.4,"March 23, 2024"
Belize,Central America/Caribbean,7.530376316,5,"March 14, 2024"
Benin,Africa,1.110590112,0.7,
Bhutan,Asia-Pacific,4.720567489,3.1,"April 26, 2024"
Bolivia,South America,2.772535296,1.8,"July 17, 2024"
Bosnia and Herzegovina,Other Europe,4.265545931,2.8,"May 9, 2024"
Botswana,Africa,2.221784474,1.5,"September 5, 2024"
Brazil,South America,2.55181934,1.7,"August 4, 2024"
Brunei Darussalam,Asia-Pacific,7.908623274,5.2,"March 10, 2024"
Bulgaria,EU-27,3.582129357,2.4,"June 2, 2024"
Burkina Faso,Africa,0.8977865812,0.6,
Burundi,Africa,0.5936057474,0.4,
Cabo Verde,Africa,1.162178945,0.8,
Cambodia,Asia-Pacific,1.339450654,0.9,
Cameroon,Africa,1.044023614,0.7,
Canada,North America,7.420640932,4.9,"March 15, 2024"
Central African Republic,Africa,1.116873599,0.7,
Chad,Africa,1.374623925,0.9,
Chile,South America,3.841833518,2.5,"May 23, 2024"
China,Asia-Pacific,3.618648824,2.4,"June 1, 2024"
Colombia,South America,1.977114125,1.3,"October 5, 2024"
Comoros,Africa,1.984809202,1.3,"October 4, 2024"
Congo,Africa,1.118348118,0.7,
"Congo, Democratic Republic of",Africa,0.6853897685,0.5,
Costa Rica,Central America/Caribbean,2.598940861,1.7,"July 31, 2024"
Côte d'Ivoire,Africa,0.8847643769,0.6,
Croatia,Other Europe,3.711865291,2.5,"May 28, 2024"
Cuba,Central America/Caribbean,1.917039516,1.3,"October 14, 2024"
Cyprus,EU-27,3.189333464,2.1,"June 21, 2024"
Czech Republic,EU-27,5.083019965,3.4,"April 18, 2024"
Denmark,EU-27,7.286468876,4.8,"March 16, 2024"
Djibouti,Africa,2.457381498,1.6,"August 12, 2024"
Dominica,Central America/Caribbean,2.687000807,1.8,"July 24, 2024"
Dominican Republic,Central America/Caribbean,1.803241756,1.2,"November 1, 2024"
Ecuador,South America,1.678287832,1.1,"November 24, 2024"
Egypt,Africa,1.453028069,1,
El Salvador,Central America/Caribbean,1.952642002,1.3,"October 9, 2024"
Equatorial Guinea,Africa,1.827589203,1.2,"October 28, 2024"
Eritrea,Africa,0.7240946499,0.5,
Estonia,EU-27,8.117492437,5.4,"March 8, 2024"
Eswatini,Africa,2.899732537,1.9,"July 9, 2024"
Ethiopia,Africa,0.8409282968,0.6,
Fiji,Asia-Pacific,2.813023151,1.9,"July 14, 2024"
Finland,EU-27,5.363279722,3.6,"April 12, 2024"
France,EU-27,4.313125146,2.9,"May 7, 2024"
French Guiana,South America,1.54705309,1,"December 22, 2024"
French Polynesia,Asia-Pacific,3.717597999,2.5,"May 28, 2024"
Gabon,Africa,2.064461271,1.4,"September 24, 2024"
Gambia,Africa,0.8538721545,0.6,
Georgia,Middle East/Central Asia,2.655478228,1.8,"July 26, 2024"
Germany,EU-27,4.498679275,3,"May 2, 2024"
Ghana,Africa,1.755277975,1.2,"November 10, 2024"
Greece,EU-27,3.780198345,2.5,"May 25, 2024"
Grenada,Central America/Caribbean,1.777002913,1.2,"November 6, 2024"
Guadeloupe,Central America/Caribbean,3.419968984,2.3,"June 10, 2024"
Guatemala,Central America/Caribbean,1.893801705,1.3,"October 18, 2024"
Guinea,Africa,1.525928653,1,"December 27, 2024"
Guinea-Bissau,Africa,1.207244845,0.8,
Guyana,South America,3.315294223,2.2,"June 15, 2024"
Haiti,Central America/Caribbean,0.5910122283,0.4,
Honduras,Central America/Caribbean,1.347078907,0.9,
Hungary,EU-27,3.788585828,2.5,"May 25, 2024"
India,Asia-Pacific,1.037628005,0.7,
Indonesia,Asia-Pacific,1.678629244,1.1,"November 24, 2024"
"Iran, Islamic Republic of",Middle East/Central Asia,3.2486495,2.2,"June 18, 2024"
Iraq,Middle East/Central Asia,1.726746196,1.1,"November 15, 2024"
Ireland,EU-27,4.505430071,3,"May 2, 2024"
Israel,Middle East/Central Asia,4.160883266,2.8,"May 12, 2024"
Italy,EU-27,3.951195867,2.6,"May 19, 2024"
Jamaica,Central America/Caribbean,1.740340457,1.2,"November 12, 2024"
Japan,Asia-Pacific,4.044275528,2.7,"May 16, 2024"
Jordan,Middle East/Central Asia,1.303853168,0.9,
Kazakhstan,Middle East/Central Asia,4.294192618,2.8,"May 8, 2024"
Kenya,Africa,0.8813024667,0.6,
"Korea, Democratic People's Republic of",Asia-Pacific,1.198197816,0.8,
"Korea, Republic of",Asia-Pacific,5.821429703,3.9,"April 4, 2024"
Kuwait,Middle East/Central Asia,8.551154826,5.7,"March 5, 2024"
Kyrgyzstan,Middle East/Central Asia,1.510363941,1,"December 30, 2024"
